Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Origin,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Total_Effect,Log_Total_Effect,Risk_Level,Risk_Encoded,Historic_Encoded,Location
No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,27.1103723,81.9238906,,2000,5,15,2000,5,17,84,0,1055,37500,1055,,,200000,245398,300000,457449,54.89515197,1139,7.038783541,Moderate,1,0,Gonda
No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,25.5008211,80.499762,,2000,5,15,2000,5,17,84,0,1055,37500,1055,,,200000,245398,300000,457449,54.89515197,1139,7.038783541,Moderate,1,0,Banda districts (Uttar Pradesh)
No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,28.6138954,77.2090057,,2000,5,15,2000,5,17,0,0,192,37500,192,,,200000,245398,300000,457449,54.89515197,192,5.262690189,Mild,0,0,Delhi
No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,26.2006,92.9376,Singora,2010,9,5,2010,9,17,0,0,30000,37500,30000,,,200000,245398,300000,457449,69.51329329,30000,10.30898599,Moderate,1,0,Lakhimpur district (Assam province)
No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,19.054999,72.8692035,,2000,7,15,2000,7,17,27,0,79,37500,79,,,200000,245398,300000,457449,54.89515197,106,4.672828834,Mild,0,0,Mumbai
No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,24.6637,80.9154547,,2000,7,15,2000,7,17,27,0,79,37500,79,,,200000,245398,300000,457449,54.89515197,106,4.672828834,Mild,0,0,Thane districts
No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,27.1303344,80.859666,,2000,8,15,2000,8,17,34,0,116,37500,116,,,200000,245398,300000,457449,54.89515197,150,5.017279837,Mild,0,0,Uttar Pradesh
No,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,22.9964948,87.6855882,,2000,10,15,2000,10,17,51,0,1300000,37500,0,,,200000,245398,300000,457449,54.89515197,51,3.951243719,Mild,0,0,West Bengal
No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,18.1080872,83.3979523,,2000,10,12,2000,10,12,14,0,64,37500,64,,,200000,245398,300000,457449,54.89515197,78,4.369447852,Mild,0,0,Andhra Pradesh state
No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,26.1524245,86.7968479,,2000,10,26,2000,10,26,13,0,287,37500,287,,,200000,245398,300000,457449,54.89515197,300,5.707110265,Mild,0,0,Supaul district (Bihar)
No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),Heavy rains,8.8457035,77.9938178,,2023,12,18,2023,12,20,10,0,1300000,37500,0,,,200000,245398,300000,457449,97.13499264,10,2.397895273,Mild,0,0,Thoothukudi
No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),Heavy rains,8.5495014,77.5805178,,2023,12,18,2023,12,20,10,0,1300000,37500,0,,,200000,245398,300000,457449,97.13499264,10,2.397895273,Mild,0,0,Tirunelveli
No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),Heavy rains,11.1271,78.6569,,2023,12,18,2023,12,20,10,0,1300000,37500,0,,,200000,245398,300000,457449,97.13499264,10,2.397895273,Mild,0,0,Kanniyakumari and Tenkasi Districts (Tamil Nadu state)
